GeneSymbol,GeneID,DiseaseName,DiseaseID(MESHID)
128UP,36288,Depressive Disorder,MESH:D003866
128UP,36288,Drug-Induced Liver Injury,MESH:D056486
128UP,36288,Mercury Poisoning,MESH:D008630
128UP,36288,Necrosis,MESH:D009336
128UP,36288,Neoplasms,MESH:D009369
130004C03,403343,"Anemia, Hemolytic",MESH:D000743
130004C03,403343,Attention Deficit and Disruptive Behavior Disorders,MESH:D019958
130004C03,403343,Autistic Disorder,MESH:D001321
130004C03,403343,Cognition Disorders,MESH:D003072
130004C03,403343,Cystitis,MESH:D003556
130004C03,403343,Heavy Metal Toxicity,MESH:C535854
130004C03,403343,Hemolysis,MESH:D006461
130004C03,403343,Hypertension,MESH:D006973
130004C03,403343,Lead Poisoning,MESH:D007855
130004C03,403343,Learning Disorders,MESH:D007859
130004C03,403343,Lung Injury,MESH:D055370
130004C03,403343,Mercury Poisoning,MESH:D008630
130004C03,403343,"Micronuclei, Chromosome-Defective",MESH:D048629
130004C03,403343,Pneumonia,MESH:D011014
14-3-3ZETA,36059,Anxiety Disorders,MESH:D001008
14-3-3ZETA,36059,Ataxia,MESH:D001259
14-3-3ZETA,36059,Autoimmune Diseases,MESH:D001327
14-3-3ZETA,36059,"Bone Diseases, Metabolic",MESH:D001851
14-3-3ZETA,36059,Brain Diseases,MESH:D001927
14-3-3ZETA,36059,Brain Edema,MESH:D001929
14-3-3ZETA,36059,Brain Injuries,MESH:D001930
14-3-3ZETA,36059,Cardiomyopathies,MESH:D009202
14-3-3ZETA,36059,Cognition Disorders,MESH:D003072
14-3-3ZETA,36059,Cognition Disorders,MESH:D003072
14-3-3ZETA,36059,Craniofacial Abnormalities,MESH:D019465
14-3-3ZETA,36059,Death,MESH:D003643
14-3-3ZETA,36059,"Disease Models, Animal",MESH:D004195
14-3-3ZETA,36059,Drug-Induced Liver Injury,MESH:D056486
14-3-3ZETA,36059,Drug-Related Side Effects and Adverse Reactions,MESH:D064420
14-3-3ZETA,36059,Ectromelia,MESH:D004480
14-3-3ZETA,36059,Encephalocele,MESH:D004677
14-3-3ZETA,36059,Epilepsy,MESH:D004827
14-3-3ZETA,36059,"Epilepsy, Absence",MESH:D004832
14-3-3ZETA,36059,Fetal Death,MESH:D005313
14-3-3ZETA,36059,Fetal Growth Retardation,MESH:D005317
14-3-3ZETA,36059,Fetal Resorption,MESH:D005327
14-3-3ZETA,36059,Hemolysis,MESH:D006461
14-3-3ZETA,36059,Hyperkinesis,MESH:D006948
14-3-3ZETA,36059,"Hypersensitivity, Delayed",MESH:D006968
14-3-3ZETA,36059,Hypertension,MESH:D006973
14-3-3ZETA,36059,Hypertension,MESH:D006973
14-3-3ZETA,36059,Kidney Diseases,MESH:D007674
14-3-3ZETA,36059,"Lead Poisoning, Nervous System",MESH:D020263
14-3-3ZETA,36059,Learning Disorders,MESH:D007859
14-3-3ZETA,36059,Learning Disorders,MESH:D007859
14-3-3ZETA,36059,Memory Disorders,MESH:D008569
14-3-3ZETA,36059,Movement Disorders,MESH:D009069
14-3-3ZETA,36059,Myoclonus,MESH:D009207
14-3-3ZETA,36059,Necrosis,MESH:D009336
14-3-3ZETA,36059,Nephrosis,MESH:D009401
14-3-3ZETA,36059,Nerve Degeneration,MESH:D009410
14-3-3ZETA,36059,Oligospermia,MESH:D009845
14-3-3ZETA,36059,Paralysis,MESH:D010243
14-3-3ZETA,36059,Prenatal Exposure Delayed Effects,MESH:D011297
14-3-3ZETA,36059,"Reflex, Abnormal",MESH:D012021
14-3-3ZETA,36059,Seizures,MESH:D012640
14-3-3ZETA,36059,Seizures,MESH:D012640
14-3-3ZETA,36059,Splenomegaly,MESH:D013163
14-3-3ZETA,36059,Status Epilepticus,MESH:D013226
14-3-3ZETA,36059,Weight Loss,MESH:D015431
18W,37277,Carcinoma,MESH:D002277
18W,37277,Drug-Induced Liver Injury,MESH:D056486
18W,37277,"Liver Neoplasms, Experimental",MESH:D008114
18W,37277,Melanoma,MESH:D008545
18W,37277,Necrosis,MESH:D009336
18W,37277,Prostatic Neoplasms,MESH:D011471
18W,37277,"Respiratory Distress Syndrome, Adult",MESH:D012128
18W,37277,Urinary Bladder Neoplasms,MESH:D001749
1-SF,100049428,"Abnormalities, Drug-Induced",MESH:D000014
1-SF,100049428,"Abnormalities, Drug-Induced",MESH:D000014
1-SF,100049428,"Abnormalities, Drug-Induced",MESH:D000014
1-SF,100049428,"Abnormalities, Drug-Induced",MESH:D000014
1-SF,100049428,"Abnormalities, Multiple",MESH:D000015
1-SF,100049428,"Abnormalities, Multiple",MESH:D000015
1-SF,100049428,"Abortion, Spontaneous",MESH:D000022
1-SF,100049428,Acne Vulgaris,MESH:D000152
1-SF,100049428,Activated Protein C Resistance,MESH:D020016
1-SF,100049428,Acute Kidney Injury,MESH:D058186
1-SF,100049428,Acute Kidney Injury,MESH:D058186
1-SF,100049428,Adenocarcinoma,MESH:D000230
1-SF,100049428,Adenocarcinoma,MESH:D000230
1-SF,100049428,Adenocarcinoma,MESH:D000230
1-SF,100049428,"Adenoma, Liver Cell",MESH:D018248
1-SF,100049428,"Adenoma, Liver Cell",MESH:D018248
1-SF,100049428,"Adenoma, Liver Cell",MESH:D018248
1-SF,100049428,Adrenal Insufficiency,MESH:D000309
1-SF,100049428,Adrenocortical Hyperfunction,MESH:D000308
1-SF,100049428,Adrenocortical Hyperfunction,MESH:D000308
1-SF,100049428,Agricultural Workers' Diseases,MESH:D000382
1-SF,100049428,Albuminuria,MESH:D000419
1-SF,100049428,Alcoholism,MESH:D000437
1-SF,100049428,Alopecia,MESH:D000505
1-SF,100049428,Amenorrhea,MESH:D000568
1-SF,100049428,Amnesia,MESH:D000647
1-SF,100049428,Anemia,MESH:D000740
1-SF,100049428,"Anemia, Iron-Deficiency",MESH:D018798
1-SF,100049428,"Anemia, Macrocytic",MESH:D000748
1-SF,100049428,Aneuploidy,MESH:D000782
1-SF,100049428,Aneuploidy,MESH:D000782
1-SF,100049428,Aneuploidy,MESH:D000782
1-SF,100049428,Angioedema,MESH:D000799
1-SF,100049428,Anorexia,MESH:D000855
1-SF,100049428,Anorexia,MESH:D000855
1-SF,100049428,Anxiety Disorders,MESH:D001008
1-SF,100049428,"Arrhythmias, Cardiac",MESH:D001145
1-SF,100049428,"Arrhythmias, Cardiac",MESH:D001145
1-SF,100049428,"Arrhythmias, Cardiac",MESH:D001145
1-SF,100049428,Arterial Occlusive Diseases,MESH:D001157
1-SF,100049428,Arteriosclerosis,MESH:D001161
1-SF,100049428,"Arthritis, Experimental",MESH:D001169
1-SF,100049428,Asthenozoospermia,MESH:D053627
1-SF,100049428,Asthenozoospermia,MESH:D053627
1-SF,100049428,Atherosclerosis,MESH:D050197
1-SF,100049428,Atherosclerosis,MESH:D050197
1-SF,100049428,Atherosclerosis,MESH:D050197
1-SF,100049428,Atrial septal defect 2,MESH:C538263
1-SF,100049428,Atrophy,MESH:D001284
1-SF,100049428,Atrophy,MESH:D001284
1-SF,100049428,Atrophy,MESH:D001284
1-SF,100049428,Atrophy,MESH:D001284
1-SF,100049428,Attention Deficit Disorder with Hyperactivity,MESH:D001289
1-SF,100049428,Autoimmune Diseases,MESH:D001327
1-SF,100049428,Biliary Dyskinesia,MESH:D001657
1-SF,100049428,Birth Weight,MESH:D001724
1-SF,100049428,Birth Weight,MESH:D001724
1-SF,100049428,Birth Weight,MESH:D001724
1-SF,100049428,Blood Coagulation Disorders,MESH:D001778
1-SF,100049428,Body Weight,MESH:D001835
1-SF,100049428,Body Weight Changes,MESH:D001836
1-SF,100049428,Body Weight Changes,MESH:D001836
1-SF,100049428,Body Weight Changes,MESH:D001836
