Entity1_id,Entity1_name,Entity1_type,Entity2_id,Entity2_name,Entity2_type,Evidence,Association,PK,PD,PMIDs,,,,,,
PA443560,Breast Neoplasms,Disease,PA117,COMT,Gene,Vip,associated,,,,,,,,,
PA443560,Breast Neoplasms,Disease,PA121,CYP2A6,Gene,VariantAnnotation,associated,PK,,21975350,,,,,,
PA443560,Breast Neoplasms,Disease,PA123,CYP2B6,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,20179710,,,,,
PA443560,Breast Neoplasms,Disease,PA134882405,GLDN,Gene,VariantAnnotation,associated,,PD,20048079,,,,,,
PA443560,Breast Neoplasms,Disease,PA134894421,E2F7,Gene,VariantAnnotation,associated,,PD,23508821,,,,,,
PA443560,Breast Neoplasms,Disease,PA134897613,ENOSF1,Gene,VariantAnnotation,associated,,,21980041,,,,,,
PA443560,Breast Neoplasms,Disease,PA134899373,C10orf11,Gene,VariantAnnotation,associated,,PD,22180457,,,,,,
PA443560,Breast Neoplasms,Disease,PA134903681,ZNF423,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,23764426,,,,,
PA443560,Breast Neoplasms,Disease,PA134907925,FGD4,Gene,VariantAnnotation,associated,,PD,22843789,,,,,,
PA443560,Breast Neoplasms,Disease,PA134911502,SLC22A16,Gene,ClinicalAnnotation,VariantAnnotation,associated,PK,PD,17559346;20179710,,,,,
PA443560,Breast Neoplasms,Disease,PA134917440,EPM2AIP1,Gene,VariantAnnotation,associated,,PD,17959715,,,,,,
PA443560,Breast Neoplasms,Disease,PA143,DHFR,Gene,VariantAnnotation,associated,,PD,17413111,,,,,,
PA443560,Breast Neoplasms,Disease,PA154,SLC29A1,Gene,ClinicalAnnotation,VariantAnnotation,associated,,PD,24361227,,,,,
PA443560,Breast Neoplasms,Disease,PA156,ESR1,Gene,VariantAnnotation,associated,,PD,19082882;23546553,,,,,,
PA443560,Breast Neoplasms,Disease,PA164727568,WRAP53,Gene,VariantAnnotation,associated,,PD,20638924,,,,,,
PA443560,Breast Neoplasms,Disease,PA24679,AKR1C3,Gene,VariantAnnotation,associated,,,23116553,,,,,,
