DrugBank IDs,Drug Name,Gene Name(Symbol),Gene Detailed Name,GeneBank Gene ID,UniprotID
DB00303,Ertapenem,ftsI,Peptidoglycan synthase FtsI,L42023,P45059
DB00114,Pyridoxal Phosphate,HDC,Histidine decarboxylase,X54297,P19113
DB00117,L-Histidine,HDC,Histidine decarboxylase,X54297,P19113
DB00142,L-Glutamic Acid,GLS2,"Glutaminase liver isoform, mitochondrial",AF110330,Q9UI32
DB01839,"1,2-Propanediol",F13A1,Coagulation factor XIII A chain,M22001,P00488
DB02340,N-Acetyl-Serine,F13A1,Coagulation factor XIII A chain,M22001,P00488
DB00125,L-Arginine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB00155,L-Citrulline,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB01110,Miconazole,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB01234,Dexamethasone,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB01686,"N,N-dimethylarginine",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB01835,4r-Fluoro-N6-Ethanimidoyl-L-Lysine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB01997,3-Bromo-7-Nitroindazole,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02044,N-(3-(Aminomethyl)Benzyl)Acetamidine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02207,7-Nitroindazole,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02234,Ethylisothiourea,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02462,Thiocoumarin,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02533,Aminoguanidine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02539,S-Ethylisothiourea,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02644,N-Omega-Propyl-L-Arginine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB02692,"(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB03100,6-Nitroindazole,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB03144,N-Omega-Hydroxy-L-Arginine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB03271,"7,8-Dihydro-L-Biopterin",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB03449,N-(4-(2-((3-Chlorophenylmethyl)Amino)Ethyl)Phenyl)-2-Thiophecarboxamidine,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB03953,L-Thiocitrulline,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB04400,"7,8-Dihydrobiopterin",NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB04534,5-Nitroindazole,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
DB05214,NULL,NOS2,"Nitric oxide synthase, inducible",L09210,P35228
